Frame,X1,Y1,Flag1,X2,Y2,Flag2,X3,Y3,Flag3,X4,Y4,Flag4,X5,Y5,Flag5,X6,Y6,Flag6,X7,Y7,Flag7,X8,Y8,Flag8,X9,Y9,Flag9,X10,Y10,Flag10,X11,Y11,Flag11,X12,Y12,Flag12,X13,Y13,Flag13,X14,Y14,Flag14,X15,Y15,Flag15,X16,Y16,Flag16,X17,Y17,Flag17,X18,Y18,Flag18,X19,Y19,Flag19,X20,Y20,Flag20,X21,Y21,Flag21,X22,Y22,Flag22,X23,Y23,Flag23,X24,Y24,Flag24,X25,Y25,Flag25,X26,Y26,Flag26,X27,Y27,Flag27,X28,Y28,Flag28,X29,Y29,Flag29,X30,Y30,Flag30,X31,Y31,Flag31,X32,Y32,Flag32,X33,Y33,Flag33,X34,Y34,Flag34,X35,Y35,Flag35,X36,Y36,Flag36,X37,Y37,Flag37,X38,Y38,Flag38,X39,Y39,Flag39,X40,Y40,Flag40,X41,Y41,Flag41,X42,Y42,Flag42,X43,Y43,Flag43,X44,Y44,Flag44,X45,Y45,Flag45,X46,Y46,Flag46,X47,Y47,Flag47,X48,Y48,Flag48,X49,Y49,Flag49,X50,Y50,Flag50,X51,Y51,Flag51,X52,Y52,Flag52,X53,Y53,Flag53,X54,Y54,Flag54,X55,Y55,Flag55,X56,Y56,Flag56,X57,Y57,Flag57,X58,Y58,Flag58,X59,Y59,Flag59,X60,Y60,Flag60,X61,Y61,Flag61,X62,Y62,Flag62,X63,Y63,Flag63,X64,Y64,Flag64,X65,Y65,Flag65,X66,Y66,Flag66,X67,Y67,Flag67,X68,Y68,Flag68,X69,Y69,Flag69,X70,Y70,Flag70,X71,Y71,Flag71,X72,Y72,Flag72,X73,Y73,Flag73,X74,Y74,Flag74,X75,Y75,Flag75
Tracks 1 to 75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,275.84937,21.1, ,364.2776,66.90589, ,460.18155,23.995745, ,544.22375,62.490116, ,118.5888,109.194374, ,235.96649,141.85532, ,15.384129,136.35297, ,340.00827,218.26741, ,567.23535,162.611, ,139.40471,211.5782, ,15.613167,217.7684, ,446.97012,262.38528, ,339.5119,421.30658, ,205.36784,454.91647, ,472.81088,459.8227, , , , ,74.06433,14.136453, ,634.4041,75.636986, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11,275.66788,21.818945, ,363.67557,72.0156, ,461.72864,25.509499, ,543.3381,66.056305, ,121.05998,110.96277, ,239.98018,147.54019, ,15.818786,136.70872, ,340.79626,226.29774, ,564.85236,164.69482, ,142.37975,213.35112, ,15.594079,217.77461, ,445.23434,270.35107, ,340.11542,431.55673, ,199.8652,469.0959, ,475.48993,474.4023, , , , ,73.26265,15.940663, ,634.3081,77.24074, ,178.3,3.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12,275.35815,22.376959, ,363.29745,77.577, ,462.80182,26.87241, ,542.3275,69.53804, ,123.53783,112.59793, ,244.07492,153.25749, ,16.253006,137.10037, ,341.2309,234.5913, ,562.4968,167.62704, ,145.3787,215.06973, ,15.580845,217.75383, ,440.7955,278.34207, ,340.64853,441.91214, ,194.23189,483.41843, ,478.37546,489.1999, , , , ,72.356575,17.69255, ,634.2657,77.76402, ,179.6125,4.6666665, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
13,275.09424,23.269756, ,362.92462,83.38164, ,463.43326,28.241657, ,541.2567,72.95539, ,126.07631,114.19581, ,248.13829,159.21953, ,16.813393,137.475, ,340.99164,242.9343, ,559.5776,170.52844, ,148.4001,217.00468, ,15.599854,217.72513, ,437.13333,287.11853, ,341.16534,452.21704, ,188.3083,497.95676, ,481.32028,501.13794, , , , ,71.429245,19.493435, ,634.1624,77.33121, ,179.55322,6.3011203, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
14,274.85547,23.976643, ,362.7899,89.33777, ,463.60764,29.492903, ,540.1249,76.45577, ,128.57652,115.614784, ,252.25014,165.10672, ,17.38332,137.86128, ,339.872,251.24222, ,556.07275,171.95831, ,151.453,219.1799, ,15.586483,217.70567, ,434.7654,296.56854, ,341.6168,462.64966, ,184.57602,506.1716, ,484.27975,508.64777, , , , ,70.335365,21.15786, ,634.3098,77.58197, ,178.64526,8.249474, ,599.6783,3.2751937, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
15,274.65158,24.868422, ,362.72726,95.63102, ,463.41003,30.747723, ,538.932,79.91949, ,131.07536,117.04834, ,256.3512,170.95265, ,18.107616,138.33195, ,338.0428,259.40845, ,553.00653,174.32144, ,154.25119,221.61545, ,15.60595,217.75218, ,433.606,306.68863, ,342.03674,473.2852, ,181.60349,513.65295, ,487.21786,516.57367, , , , ,69.235466,22.813099, ,634.48615,78.13322, ,177.44228,10.1349745, ,596.9058,4.099034, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
16,274.69156,25.873074, ,362.85065,102.00428, ,462.81802,31.997814, ,537.7219,83.213615, ,133.65408,118.543724, ,260.4347,177.08896, ,18.793226,138.78128, ,335.63095,267.52594, ,549.65344,176.3393, ,157.00107,224.60138, ,15.539665,217.81369, ,433.4307,317.595, ,342.38107,484.0449, ,177.64598,520.9623, ,490.65027,524.5622, , , , ,68.08263,24.468033, ,634.72906,77.73273, ,176.24213,12.095988, ,595.1572,5.1996465, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
17,275.01846,26.95414, ,363.08804,108.664246, ,461.9847,33.270042, ,536.52606,86.460396, ,136.32855,120.096146, ,264.32074,182.87703, ,19.546637,139.26147, ,332.65356,275.76202, ,546.24884,178.37675, ,159.59207,228.37045, ,15.56686,217.72057, ,434.2002,329.19366, ,342.7089,495.15167, , , , , , , , , , ,66.812935,25.998268, ,634.9781,77.93825, ,175.05806,13.954432, ,593.8371,6.275281, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
18,275.6059,28.33213, ,363.5281,115.33568, ,460.70926,35.482822, ,535.308,89.49896, ,139.02264,121.798805, ,267.93546,188.49438, ,20.385881,139.8365, ,329.19278,284.21313, ,542.76044,180.36098, ,161.92648,232.85513, ,15.549782,217.82013, ,435.57938,341.33136, ,342.04913,501.72842, , , , , , , , , , ,65.59041,27.59928, ,635.24347,77.708694, ,173.98953,15.814222, ,592.6986,7.3621497, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
19,276.60162,29.902033, ,364.2283,122.095985, ,459.31396,38.24518, ,534.162,92.220665, ,141.8973,123.77509, ,271.4664,194.28108, ,21.220112,140.35936, ,326.17163,293.0855, ,539.1868,182.35611, ,163.90524,238.3154, ,15.603585,217.81873, ,437.5665,353.9142, ,340.5794,507.31082, , , , , , , , , , ,64.37196,29.19692, ,635.5686,77.34804, ,172.99753,17.661547, ,591.69684,8.501988, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
